STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,X,Y,geometry
51,87,200133,1400000US51087200133,51087200133,2001.33,Census Tract 2001.33,VA,Henrico County,Virginia,CT,2662232,137071,-77.61147789,37.5922495,POINT (-77.61147789401798 37.59224949813702)
51,760,40201,1400000US51760040201,51760040201,402.01,Census Tract 402.01,VA,Richmond city,Virginia,CT,508179,0,-77.4492581,37.55331439,POINT (-77.44925810279899 37.55331439498033)
51,760,20100,1400000US51760020100,51760020100,201,Census Tract 201,VA,Richmond city,Virginia,CT,990144,0,-77.41799847,37.5546446,POINT (-77.41799847495564 37.55464460329913)
51,87,200303,1400000US51087200303,51087200303,2003.03,Census Tract 2003.03,VA,Henrico County,Virginia,CT,2868449,1642,-77.52659472,37.60165473,POINT (-77.52659471532229 37.60165472995833)
51,41,101015,1400000US51041101015,51041101015,1010.15,Census Tract 1010.15,VA,Chesterfield County,Virginia,CT,7882787,121080,-77.66452095,37.37887289,POINT (-77.66452094834307 37.37887289369491)
51,87,201503,1400000US51087201503,51087201503,2015.03,Census Tract 2015.03,VA,Henrico County,Virginia,CT,5849946,27654,-77.39550375,37.49795547,POINT (-77.39550374682817 37.49795546586451)
51,41,100600,1400000US51041100600,51041100600,1006,Census Tract 1006,VA,Chesterfield County,Virginia,CT,3310542,19926,-77.42319043,37.24154169,POINT (-77.42319043016349 37.24154168502511)
51,760,40700,1400000US51760040700,51760040700,407,Census Tract 407,VA,Richmond city,Virginia,CT,684963,0,-77.48055806,37.5634636,POINT (-77.48055806134057 37.563463603834165)
51,87,200417,1400000US51087200417,51087200417,2004.17,Census Tract 2004.17,VA,Henrico County,Virginia,CT,946817,303,-77.50921201,37.61422594,POINT (-77.50921200622697 37.61422593961477)
51,41,100300,1400000US51041100300,51041100300,1003,Census Tract 1003,VA,Chesterfield County,Virginia,CT,5320226,60990,-77.44072057,37.45041861,POINT (-77.44072056964792 37.45041860738069)
51,760,21000,1400000US51760021000,51760021000,210,Census Tract 210,VA,Richmond city,Virginia,CT,812985,0,-77.39480781,37.52040873,POINT (-77.39480781083584 37.52040872850082)
51,760,70602,1400000US51760070602,51760070602,706.02,Census Tract 706.02,VA,Richmond city,Virginia,CT,2119329,0,-77.47678105,37.49795412,POINT (-77.47678104929807 37.497954119998944)
51,41,100820,1400000US51041100820,51041100820,1008.2,Census Tract 1008.20,VA,Chesterfield County,Virginia,CT,10037311,50998,-77.52097119,37.41250194,POINT (-77.52097119301028 37.41250193558361)
51,760,40300,1400000US51760040300,51760040300,403,Census Tract 403,VA,Richmond city,Virginia,CT,518167,0,-77.45193567,37.54672557,POINT (-77.45193566977434 37.54672557048918)
51,41,100937,1400000US51041100937,51041100937,1009.37,Census Tract 1009.37,VA,Chesterfield County,Virginia,CT,4253443,150187,-77.65752559,37.45437077,POINT (-77.65752558708722 37.45437076789001)
51,87,201404,1400000US51087201404,51087201404,2014.04,Census Tract 2014.04,VA,Henrico County,Virginia,CT,44174485,1685352,-77.24402336,37.4958059,POINT (-77.24402336086102 37.49580590391546)
51,75,400500,1400000US51075400500,51075400500,4005,Census Tract 4005,VA,Goochland County,Virginia,CT,265365137,6143470,-78.0537926,37.7822625,POINT (-78.053792604535 37.78226250152007)
51,41,101013,1400000US51041101013,51041101013,1010.13,Census Tract 1010.13,VA,Chesterfield County,Virginia,CT,11511087,120071,-77.61817889,37.39472668,POINT (-77.61817888814718 37.39472668127046)
51,760,50100,1400000US51760050100,51760050100,501,Census Tract 501,VA,Richmond city,Virginia,CT,1683369,0,-77.48460675,37.57022207,POINT (-77.48460674881123 37.570222070507945)
51,760,70100,1400000US51760070100,51760070100,701,Census Tract 701,VA,Richmond city,Virginia,CT,10192484,64978,-77.57475071,37.54653388,POINT (-77.5747507092733 37.5465338779208)
51,85,320902,1400000US51085320902,51085320902,3209.02,Census Tract 3209.02,VA,Hanover County,Virginia,CT,14393013,103265,-77.38681578,37.63660736,POINT (-77.38681578335574 37.63660735964822)
51,760,41400,1400000US51760041400,51760041400,414,Census Tract 414,VA,Richmond city,Virginia,CT,630918,0,-77.4699502,37.543448,POINT (-77.4699502016665 37.54344800386541)
51,760,70601,1400000US51760070601,51760070601,706.01,Census Tract 706.01,VA,Richmond city,Virginia,CT,3485109,0,-77.49295088,37.50001787,POINT (-77.49295087591899 37.50001786905895)
51,87,200414,1400000US51087200414,51087200414,2004.14,Census Tract 2004.14,VA,Henrico County,Virginia,CT,3829382,53203,-77.55239917,37.66159884,POINT (-77.55239917297446 37.66159883541415)
51,760,10800,1400000US51760010800,51760010800,108,Census Tract 108,VA,Richmond city,Virginia,CT,1469607,0,-77.42070543,37.57527886,POINT (-77.42070543119493 37.575278857447664)
51,41,100902,1400000US51041100902,51041100902,1009.02,Census Tract 1009.02,VA,Chesterfield County,Virginia,CT,5116038,5197,-77.56921858,37.53045113,POINT (-77.56921857693308 37.53045112724897)
51,75,400101,1400000US51075400101,51075400101,4001.01,Census Tract 4001.01,VA,Goochland County,Virginia,CT,52395041,1988579,-77.68299554,37.60434673,POINT (-77.6829955433757 37.60434672946437)
51,41,100705,1400000US51041100705,51041100705,1007.05,Census Tract 1007.05,VA,Chesterfield County,Virginia,CT,65346718,682957,-77.54650989,37.30209467,POINT (-77.54650989331608 37.30209466539443)
51,760,20400,1400000US51760020400,51760020400,204,Census Tract 204,VA,Richmond city,Virginia,CT,1768368,0,-77.42088542,37.546529,POINT (-77.4208854239443 37.54652900358536)
51,85,320702,1400000US51085320702,51085320702,3207.02,Census Tract 3207.02,VA,Hanover County,Virginia,CT,68045579,1074691,-77.33973544,37.72429497,POINT (-77.3397354429418 37.72429497133764)
51,760,20600,1400000US51760020600,51760020600,206,Census Tract 206,VA,Richmond city,Virginia,CT,473839,0,-77.41569157,37.53339478,POINT (-77.41569156853424 37.5333947831075)
51,87,200149,1400000US51087200149,51087200149,2001.49,Census Tract 2001.49,VA,Henrico County,Virginia,CT,3717185,36459,-77.60039992,37.66826832,POINT (-77.6003999189225 37.66826832262241)
51,87,200143,1400000US51087200143,51087200143,2001.43,Census Tract 2001.43,VA,Henrico County,Virginia,CT,2132295,43405,-77.60422964,37.63998125,POINT (-77.60422964361705 37.63998124560359)
51,85,320805,1400000US51085320805,51085320805,3208.05,Census Tract 3208.05,VA,Hanover County,Virginia,CT,8590659,3572,-77.42512268,37.6646678,POINT (-77.42512267815975 37.66466779619397)
51,87,200145,1400000US51087200145,51087200145,2001.45,Census Tract 2001.45,VA,Henrico County,Virginia,CT,3609185,23093,-77.62091788,37.69726831,POINT (-77.62091787966979 37.697268305732)
51,41,100409,1400000US51041100409,51041100409,1004.09,Census Tract 1004.09,VA,Chesterfield County,Virginia,CT,10737785,12143,-77.42961382,37.3696818,POINT (-77.42961382044136 37.36968180266313)
51,41,100507,1400000US51041100507,51041100507,1005.07,Census Tract 1005.07,VA,Chesterfield County,Virginia,CT,10526449,17830,-77.43856897,37.3079419,POINT (-77.43856896707703 37.30794190008092)
51,41,100212,1400000US51041100212,51041100212,1002.12,Census Tract 1002.12,VA,Chesterfield County,Virginia,CT,2001386,11895,-77.50450006,37.45746628,POINT (-77.5045000596032 37.45746627818334)
51,87,200153,1400000US51087200153,51087200153,2001.53,Census Tract 2001.53,VA,Henrico County,Virginia,CT,2261426,6330,-77.57100175,37.6124798,POINT (-77.57100175473788 37.61247980079814)
51,41,100919,1400000US51041100919,51041100919,1009.19,Census Tract 1009.19,VA,Chesterfield County,Virginia,CT,14383521,27671,-77.61338001,37.44792263,POINT (-77.61338000513638 37.44792263319918)
